folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,16.35399126345414,6.927693130919098,18.06861144941086,20.029983885833442,28.710294419521773,35.5434138504223,34.52664483455953,28.105427207138987
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,15.482742922432335,7.050676351163425,13.973695572034543,23.980532880056124,27.673805437724265,35.84484768000323,36.95401382188581,25.113990761918732
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,16.54866123683692,6.781815960977884,15.712923870419738,21.75239559493386,32.68253668648344,34.12929890364789,38.036486607970495,26.4713911574484
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,19.260476727059952,8.08629237977011,13.366442845731308,21.030561341622676,32.060728971618076,33.18426714683772,33.917480594323,25.169346523739513
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,21.453195081849383,27.884601811176573,21.298406101507858,17.89857972827836,28.01418292700618,38.25783482541645,30.943307354475277,34.30475976241716
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,26.937622361047165,26.214493840012146,20.374745354348835,22.019545641444925,27.947460152792985,38.27966378892329,31.272795074743463,34.52497652903061
CapturedFrames_-1.0_0.5_5.0,-1.0,0.5,5.0,30.316105561760374,28.052130712815906,18.068071442348018,26.874246095027424,33.393955142769336,33.01207457527934,30.271153820136956,35.87164502442182
CapturedFrames_-1.0_0.5_6.0,-1.0,0.5,6.0,37.50480698710358,17.73415281495232,21.698825342219212,24.90925719978177,37.51810093136727,27.916889831742917,32.52576776706907,35.200939721620465
CapturedFrames_-1.0_1.5_-3.0,-1.0,1.5,-3.0,15.52782671486236,6.657853784504529,21.859978529416665,25.913534245260234,24.839048497617203,37.222404752105426,48.76401280165719,15.188453154768904
CapturedFrames_-1.0_1.5_-4.0,-1.0,1.5,-4.0,15.458067332051302,8.35775736014211,16.207879453008687,26.71817350582156,28.03741339927488,35.91222619213488,54.60128287990239,10.82244350283731
