folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,40.0349650634749,49.493213939508394,91.93011191625533,52.45293564729258,75.76188992224242,52.501910176872,55.377513859356014,47.03183282706466
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,33.03860470428826,25.35303201109528,51.902481320908294,56.70868270915008,38.35084020474003,48.966177525418956,56.73462715095998,72.95717043136479
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,31.610047380001518,22.89138222081084,55.67071374443361,56.25182505081135,47.49860631296665,44.48915625228428,53.74125051331298,44.594063146924725
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,33.696387705478216,18.60910413846912,58.78748242202681,53.807075659199626,41.14061418019993,41.70592582011198,44.39760457869092,41.23530663047434
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,44.243536848085554,53.15393480257595,47.9600045888664,44.22353880250286,64.64595055555925,59.48018039766778,78.44259736226024,48.946570464953496
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,43.26930694279561,49.933361566843544,46.34016074585375,43.90418467555094,42.482854749189976,62.9561293874507,45.85313380380768,50.62266244803506
CapturedFrames_-1.0_0.5_5.0,-1.0,0.5,5.0,49.751176466897704,50.410176157872584,53.033532989853626,50.39830647001391,47.227171429887164,53.65022257540742,42.042783711366724,48.522274440171856
CapturedFrames_-1.0_0.5_6.0,-1.0,0.5,6.0,43.82039925522966,31.889294747074274,55.710323197949094,46.178048670498555,49.31792265843114,49.240040757460925,49.99404037729647,49.53059866197735
CapturedFrames_-1.0_1.5_-3.0,-1.0,1.5,-3.0,28.495202408431325,20.248288837300862,61.945995822358284,65.70432632417544,37.57259381430911,60.097085098082026,76.09337225603383,93.6737664128421
CapturedFrames_-1.0_1.5_-4.0,-1.0,1.5,-4.0,27.299145260159293,24.314165748390792,62.34509030278201,60.05851554667383,40.77470033805585,47.70830387873617,82.54708019314629,38.39528633816829
