joint,theta_mean,theta_std,theta_min,theta_max,theta_abs_mean,psi_mean,psi_std,psi_min,psi_max,psi_abs_mean,error3d_mean,error3d_std,error3d_min,error3d_max
LEFT_ANKLE,-57.47,158.94,-180.0,180.0,168.71,-21.95,105.84,-179.99,179.99,90.56,1.03,0.09,0.33,2.17
LEFT_ELBOW,121.06,25.5,-179.93,179.7,121.57,24.97,90.6,-179.84,179.98,87.3,0.37,0.05,0.18,1.02
LEFT_KNEE,-89.99,135.21,-180.0,180.0,161.71,-0.57,97.92,-179.99,179.95,84.65,0.56,0.04,0.22,1.04
LEFT_SHOULDER,82.13,148.61,-180.0,180.0,169.54,52.64,86.44,-179.99,179.99,94.06,0.6,0.05,0.16,1.57
LEFT_WRIST,25.1,108.6,-179.99,179.99,94.28,36.89,91.93,-179.97,179.95,88.56,0.36,0.07,0.18,1.17
RIGHT_ANKLE,56.76,158.4,-180.0,180.0,167.89,51.24,103.09,-179.99,180.0,100.38,1.03,0.1,0.39,2.21
RIGHT_ELBOW,-121.0,23.02,-179.18,168.71,121.25,-10.07,94.51,-179.93,179.99,88.56,0.38,0.05,0.26,1.15
RIGHT_KNEE,78.71,142.55,-180.0,180.0,162.21,19.97,97.49,-179.97,179.95,87.18,0.56,0.05,0.25,1.12
RIGHT_SHOULDER,-97.7,140.85,-180.0,180.0,171.19,-35.5,92.0,-179.96,179.96,92.72,0.59,0.05,0.18,1.54
RIGHT_WRIST,-35.82,106.23,-180.0,180.0,93.14,-21.28,99.16,-179.98,180.0,91.55,0.4,0.07,0.15,1.08
